Time	Target_Speed	Vehicle_COM_Speed	Long_Slip	Long_Tire_Force	Brake_Torque	Wheel_Omega	Spindle_Omega	Wheel_Torque	
+2.000000	+26.820000	+0.018468	-0.570879	-139.455776	+22.436042	+0.004541	-0.004541	-27.901334	
+2.002000	+26.820000	+0.018520	-0.434848	-139.773354	+22.190841	+0.006928	-0.006929	-27.027260	
+2.004000	+26.820000	+0.018601	-0.089811	-138.553780	+0.000000	+0.010828	-0.010828	-25.903398	
+2.006000	+26.820000	+0.018683	+0.500270	-135.317419	+0.000000	+0.017008	-0.017007	-45.363147	
+2.008000	+26.820000	+0.018758	+1.489487	-128.987546	+0.000000	+0.024180	-0.024180	-43.656657	
+2.010000	+26.820000	+0.018829	+2.730582	-119.971479	+0.000000	+0.031882	-0.031882	-41.763935	
+2.012000	+26.820000	+0.018896	+4.187656	-108.364951	+0.000000	+0.039526	-0.039526	-39.431289	
+2.014000	+26.820000	+0.018960	+5.763671	-94.523075	+0.000000	+0.046498	-0.046498	-36.847564	
+2.016000	+26.820000	+0.019020	+7.407235	-78.945065	+0.000000	+0.052196	-0.052196	-34.033674	
+2.018000	+26.820000	+0.019076	+8.950408	-62.346657	+0.000000	+0.056110	-0.056110	-31.005363	
+2.020000	+26.820000	+0.019130	+10.378933	-45.466887	+0.000000	+0.057872	-0.057872	-27.781636	
+2.022000	+26.820000	+0.019183	+11.574339	-29.113736	+0.000000	+0.057315	-0.057314	-24.378461	
+2.024000	+26.820000	+0.019231	+12.167373	-14.096962	+0.000000	+0.054482	-0.054482	-20.812630	
+2.026000	+26.820000	+0.019274	+12.298110	-0.987274	+0.000000	+0.049669	-0.049669	-17.078587	
+2.028000	+26.820000	+0.019312	+11.764994	+9.769289	+0.000000	+0.043358	-0.043358	-13.248607	
+2.030000	+26.820000	+0.019345	+10.813857	+18.035577	+0.000000	+0.036226	-0.036226	-9.297866	
+2.032000	+26.820000	+0.019369	+9.095039	+23.806602	+0.000000	+0.029050	-0.029050	-5.266591	
+2.034000	+26.820000	+0.019382	+7.329578	+27.548701	+0.000000	+0.022644	-0.022644	-1.165444	
+2.036000	+26.820000	+0.019384	+5.427059	+29.772045	+0.000000	+0.017772	-0.017772	+2.942919	
+2.038000	+26.820000	+0.019377	+3.949352	+31.339473	+0.000000	+0.015052	-0.015052	+7.055761	
+2.040000	+26.820000	+0.019361	+2.992632	+33.103948	+0.000000	+0.014906	-0.014906	+11.116078	
+2.042000	+26.820000	+0.019335	+2.693872	+35.998098	+0.000000	+0.017482	-0.017482	+15.112703	
+2.044000	+26.820000	+0.019301	+3.042419	+40.894543	+0.000000	+0.022635	-0.022635	+19.003604	
+2.046000	+26.820000	+0.019262	+3.809178	+48.386618	+0.000000	+0.029920	-0.029920	+22.766513	
+2.048000	+26.820000	+0.019217	+4.792608	+58.829812	+0.000000	+0.038628	-0.038629	+26.403419	
+2.050000	+26.820000	+0.019172	+6.030140	+72.392405	+0.000000	+0.047832	-0.047832	+29.864090	
+2.052000	+26.820000	+0.019125	+6.938210	+88.506601	+0.000000	+0.056469	-0.056469	+33.119180	
+2.054000	+26.820000	+0.019079	+7.854326	+106.702951	+0.000000	+0.063477	-0.063477	+36.231087	
+2.056000	+26.820000	+0.019033	+8.355179	+125.853697	+0.000000	+0.067862	-0.067862	+39.069257	
+2.058000	+26.820000	+0.018991	+8.453907	+144.772556	+0.000000	+0.068852	-0.068852	+41.733150	
+2.060000	+26.820000	+0.018952	+8.074016	+162.126760	+0.000000	+0.065930	-0.065929	+44.114324	
+2.062000	+26.820000	+0.018916	+7.382999	+176.708398	+0.000000	+0.058952	-0.058952	+46.227753	
+2.064000	+26.820000	+0.018879	+6.117382	+187.175181	+0.000000	+0.048197	-0.048197	+48.096126	
+2.066000	+26.820000	+0.018843	+4.725448	+192.918251	+0.000000	+0.034353	-0.034353	+49.771908	
