Time	Target_Speed	Vehicle_COM_Speed	Long_Slip	Long_Tire_Force	Brake_Torque	Wheel_Omega	Spindle_Omega	Wheel_Torque	
+2.000000	+26.820000	+0.021713	+0.011821	-111.347432	+20.401618	+0.004743	-0.004743	-23.212181	
+2.002000	+26.820000	+0.021733	-0.256120	-112.659987	+20.277162	+0.004459	-0.004459	-21.704137	
+2.004000	+26.820000	+0.021776	-0.269393	-113.121525	+0.000000	+0.006072	-0.006072	-19.980884	
+2.006000	+26.820000	+0.021819	+0.033530	-112.126479	+0.000000	+0.010499	-0.010499	-37.236331	
+2.008000	+26.820000	+0.021851	+0.829912	-108.394560	+0.000000	+0.016736	-0.016736	-35.149321	
+2.010000	+26.820000	+0.021881	+2.030998	-101.772806	+0.000000	+0.024429	-0.024429	-32.950087	
+2.012000	+26.820000	+0.021908	+3.538333	-92.151849	+0.000000	+0.033012	-0.033012	-30.421257	
+2.014000	+26.820000	+0.021935	+5.310436	-79.549776	+0.000000	+0.041781	-0.041781	-27.675380	
+2.016000	+26.820000	+0.021962	+7.276835	-64.295363	+0.000000	+0.049943	-0.049943	-24.781239	
+2.018000	+26.820000	+0.021990	+9.375431	-46.979341	+0.000000	+0.056720	-0.056720	-21.727614	
+2.020000	+26.820000	+0.022018	+11.473957	-28.418446	+0.000000	+0.061418	-0.061418	-18.535900	
+2.022000	+26.820000	+0.022045	+13.409300	-9.571165	+0.000000	+0.063515	-0.063515	-15.212814	
+2.024000	+26.820000	+0.022069	+15.028088	+8.568256	+0.000000	+0.062716	-0.062716	-11.786016	
+2.026000	+26.820000	+0.022087	+15.933665	+25.012313	+0.000000	+0.059002	-0.059002	-8.273946	
+2.028000	+26.820000	+0.022097	+16.526068	+39.037943	+0.000000	+0.052650	-0.052650	-4.683660	
+2.030000	+26.820000	+0.022096	+15.331746	+49.879981	+0.000000	+0.044210	-0.044210	-1.048525	
+2.032000	+26.820000	+0.022084	+13.547934	+57.376245	+0.000000	+0.034476	-0.034476	+2.657901	
+2.034000	+26.820000	+0.022059	+10.340019	+61.403694	+0.000000	+0.024402	-0.024402	+6.350610	
+2.036000	+26.820000	+0.022018	+6.654864	+62.322829	+0.000000	+0.015012	-0.015012	+10.050923	
+2.038000	+26.820000	+0.021965	+3.501957	+60.896128	+0.000000	+0.007306	-0.007306	+13.684472	
+2.040000	+26.820000	+0.021898	+0.962046	+57.887359	+0.000000	+0.002144	-0.002144	+17.213609	
+2.042000	+26.820000	+0.021821	-0.489280	+54.456213	+0.000000	+0.000150	-0.000150	+20.631149	
+2.044000	+26.820000	+0.021736	-0.968304	+51.833739	+0.000000	+0.001661	-0.001661	+23.867155	
+2.046000	+26.820000	+0.021648	-0.686306	+51.267008	+0.000000	+0.006637	-0.006637	+26.892972	
+2.048000	+26.820000	+0.021561	+0.120907	+53.671434	+0.000000	+0.014669	-0.014669	+29.715925	
+2.050000	+26.820000	+0.021474	+1.215771	+59.608408	+0.000000	+0.024981	-0.024981	+32.346313	
+2.052000	+26.820000	+0.021395	+2.562846	+69.586769	+0.000000	+0.036516	-0.036516	+34.785353	
+2.054000	+26.820000	+0.021323	+3.857470	+83.148846	+0.000000	+0.048008	-0.048008	+36.984277	
+2.056000	+26.820000	+0.021256	+5.026113	+99.718566	+0.000000	+0.058141	-0.058141	+39.071173	
+2.058000	+26.820000	+0.021198	+6.152754	+118.429476	+0.000000	+0.065624	-0.065624	+40.906670	
+2.060000	+26.820000	+0.021144	+6.872580	+137.724118	+0.000000	+0.069329	-0.069329	+42.475807	
+2.062000	+26.820000	+0.021094	+7.238976	+156.145167	+0.000000	+0.068416	-0.068416	+43.807664	
+2.064000	+26.820000	+0.021042	+7.074974	+172.014035	+0.000000	+0.062487	-0.062487	+44.865721	
+2.066000	+26.820000	+0.020989	+6.421460	+183.895312	+0.000000	+0.051675	-0.051675	+45.757719	
+2.068000	+26.820000	+0.020928	+5.093010	+190.430008	+0.000000	+0.036620	-0.036620	+46.481548	
+2.070000	+26.820000	+0.020859	+3.281056	+190.851518	+0.000000	+0.018438	-0.018438	+47.086899	
+2.072000	+26.820000	+0.020780	+1.111765	+184.736093	+0.000000	-0.001361	+0.001361	+47.548588	
+2.074000	+26.820000	+0.020691	-1.149737	+171.422009	+0.000000	-0.021004	+0.021004	+47.904036	
+2.076000	+26.820000	+0.020592	-3.190660	+151.760310	+0.000000	-0.038611	+0.038611	+48.126100	
+2.078000	+26.820000	+0.020487	-4.734769	+127.777496	+0.000000	-0.052304	+0.052304	+47.961844	
+2.080000	+26.820000	+0.020377	-5.718042	+101.787525	+0.000000	-0.060467	+0.060467	+47.403636	
+2.082000	+26.820000	+0.020269	-6.083108	+76.191123	+0.000000	-0.062034	+0.062034	+46.535424	
+2.084000	+26.820000	+0.020164	-5.797610	+53.246744	+0.000000	-0.056578	+0.056578	+45.440144	
+2.086000	+26.820000	+0.020066	-5.065673	+35.265573	+0.000000	-0.044398	+0.044398	+44.117067	
+2.088000	+26.820000	+0.019972	-3.993478	+23.972932	+0.000000	-0.026470	+0.026470	+42.582882	
+2.090000	+26.820000	+0.019886	-2.696568	+20.560718	+0.000000	-0.004420	+0.004420	+40.898927	
+2.092000	+26.820000	+0.019804	-1.272567	+25.458964	+0.000000	+0.019627	-0.019627	+39.103114	
+2.094000	+26.820000	+0.019725	+0.182279	+38.313757	+0.000000	+0.043224	-0.043224	+37.240421	
+2.096000	+26.820000	+0.019647	+1.580287	+57.463639	+0.000000	+0.063646	-0.063646	+35.130297	
+2.098000	+26.820000	+0.019568	+2.822729	+80.735825	+0.000000	+0.078367	-0.078367	+32.887147	
+2.100000	+26.820000	+0.019488	+3.797569	+105.303536	+0.000000	+0.085439	-0.085439	+30.601040	
+2.102000	+26.820000	+0.019409	+4.387652	+128.136229	+0.000000	+0.083657	-0.083657	+28.374866	
+2.104000	+26.820000	+0.019329	+4.490410	+146.325450	+0.000000	+0.072717	-0.072717	+26.263939	
+2.106000	+26.820000	+0.019247	+3.985910	+157.268798	+0.000000	+0.053267	-0.053267	+24.303857	
+2.108000	+26.820000	+0.019161	+2.803681	+158.945111	+0.000000	+0.026875	-0.026874	+22.540525	
+2.110000	+26.820000	+0.019073	+0.994555	+150.170440	+0.000000	-0.004109	+0.004109	+20.962600	
+2.112000	+26.820000	+0.018978	-1.313051	+129.540056	+0.000000	-0.036719	+0.036718	+19.570698	
+2.114000	+26.820000	+0.018876	-3.806557	+98.107784	+0.000000	-0.067610	+0.067610	+18.388535	
+2.116000	+26.820000	+0.018767	-5.998462	+58.653234	+0.000000	-0.093213	+0.093213	+17.162061	
+2.118000	+26.820000	+0.018656	-7.817010	+15.222884	+0.000000	-0.110185	+0.110185	+16.005556	
+2.120000	+26.820000	+0.018548	-8.601170	-28.666447	+0.000000	-0.116033	+0.116033	+14.917454	
+2.122000	+26.820000	+0.018445	-8.539222	-68.492647	+0.000000	-0.109427	+0.109427	+13.979327	
+2.124000	+26.820000	+0.018352	-7.689826	-100.409491	+0.000000	-0.090216	+0.090216	+13.054381	
+2.126000	+26.820000	+0.018265	-6.225187	-121.055081	+0.000000	-0.059554	+0.059554	+12.229463	
+2.128000	+26.820000	+0.018180	-4.287286	-127.985298	+0.000000	-0.019780	+0.019780	+11.487151	
+2.130000	+26.820000	+0.018091	-2.052467	-119.670155	+0.000000	+0.025790	-0.025790	+10.881406	
+2.132000	+26.820000	+0.017990	+0.350563	-95.360999	+0.000000	+0.073083	-0.073083	+10.397477	
+2.134000	+26.820000	+0.017875	+2.832964	-55.451618	+0.000000	+0.117642	-0.117642	+10.137705	
+2.136000	+26.820000	+0.017742	+5.288364	-4.645718	+0.000000	+0.154698	-0.154698	+9.995978	
+2.138000	+26.820000	+0.017597	+7.618828	+52.252375	+0.000000	+0.179750	-0.179750	+10.153929	
+2.140000	+26.820000	+0.017447	+9.643578	+109.582925	+0.000000	+0.189789	-0.189789	+10.696744	
+2.142000	+26.820000	+0.017301	+11.126815	+161.959787	+0.000000	+0.183220	-0.183220	+11.561598	
+2.144000	+26.820000	+0.017163	+11.821485	+204.562823	+0.000000	+0.160210	-0.160210	+12.800290	
+2.146000	+26.820000	+0.017033	+11.257041	+233.379207	+0.000000	+0.122571	-0.122571	+14.424895	
+2.148000	+26.820000	+0.016907	+9.566219	+245.923210	+0.000000	+0.073611	-0.073611	+16.468114	
+2.150000	+26.820000	+0.016779	+5.855217	+240.168319	+0.000000	+0.017833	-0.017833	+18.903434	
+2.152000	+26.820000	+0.016641	+0.743387	+216.031943	+0.000000	-0.039407	+0.039407	+21.848596	
+2.154000	+26.820000	+0.016492	-4.856297	+171.408378	+0.000000	-0.092212	+0.092212	+25.207413	
+2.156000	+26.820000	+0.016336	-9.485020	+113.532787	+0.000000	-0.134408	+0.134408	+29.298092	
+2.158000	+26.820000	+0.016189	-12.613845	+49.929611	+0.000000	-0.160187	+0.160187	+32.856469	
+2.160000	+26.820000	+0.016066	-13.275023	-12.296822	+0.000000	-0.165727	+0.165727	+36.159515	
+2.162000	+26.820000	+0.015978	-12.253217	-65.732247	+0.000000	-0.149415	+0.149415	+39.295397	
+2.164000	+26.820000	+0.015933	-10.023155	-104.194956	+0.000000	-0.111807	+0.111807	+42.259137	
+2.166000	+26.820000	+0.015923	-7.073255	-122.584183	+0.000000	-0.055631	+0.055631	+45.152676	
+2.168000	+26.820000	+0.015928	-3.762783	-117.131988	+0.000000	+0.014588	-0.014589	+48.079711	
+2.170000	+26.820000	+0.015917	-0.325371	-85.466326	+0.000000	+0.092887	-0.092887	+51.180973	
+2.172000	+26.820000	+0.015862	+3.115664	-25.957624	+0.000000	+0.172247	-0.172247	+54.569591	
+2.174000	+26.820000	+0.015744	+6.480310	+54.876092	+0.000000	+0.245058	-0.245058	+58.411629	
+2.176000	+26.820000	+0.015555	+9.684880	+149.912329	+0.000000	+0.303426	-0.303426	+62.969415	
+2.178000	+26.820000	+0.015325	+12.493769	+250.549758	+0.000000	+0.339603	-0.339603	+65.948638	
+2.180000	+26.820000	+0.015038	+14.991821	+347.817100	+0.000000	+0.349054	-0.349054	+68.660365	
+2.182000	+26.820000	+0.014747	+16.120612	+433.160765	+0.000000	+0.329875	-0.329875	+71.122869	
+2.184000	+26.820000	+0.014457	+16.852690	+500.913207	+0.000000	+0.283412	-0.283412	+74.010435	
+2.186000	+26.820000	+0.014190	+15.251358	+545.307935	+0.000000	+0.213266	-0.213266	+76.868747	
+2.188000	+26.820000	+0.013953	+12.212988	+563.492144	+0.000000	+0.125425	-0.125425	+80.474633	
+2.190000	+26.820000	+0.013757	+7.066822	+553.084599	+0.000000	+0.027414	-0.027414	+84.631082	
+2.192000	+26.820000	+0.013604	+0.771830	+513.821581	+0.000000	-0.072051	+0.072051	+89.727003	
+2.194000	+26.820000	+0.013514	-5.442989	+430.863173	+0.000000	-0.163481	+0.163479	+95.817886	
